id,timestamp,asset,type,quantity
usr_001,2024-01-15T10:00:00Z,BTC,BUY,0.5
usr_002,2024-01-15T10:05:30Z,Bitcoin,SELL,1.234567
usr_003,2024-01-15T11:00:00Z,ETH,BUY,10.0
usr_004,2024-01-15T12:00:00Z,USDT,TRANSFER_OUT,500.00
usr_005,2024-01-15T13:00:00Z,SOL,BUY,25.5
usr_006,,,BUY,
usr_007,2024-01-15T14:00:00Z,BTC,BUY,0.1234
usr_008,2024-01-15T15:00:00Z,ETH,SELL,2.0
usr_009,not-a-date,BTC,BUY,abc-not-a-number
usr_010,2024-01-15T16:00:00Z,Ethereum,BUY,5.00
usr_011,2024-01-15T17:00:00Z,ADA,BUY,1000
usr_012,2024-01-15T18:00:00Z,XRP,SELL,200.0
